CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Rating,Exited,Geography,Gender
668.0,33.0,3.0,0.0,2.0,1.0,0.0,181449.97,-3,0,Paris-France,Male
627.0,33.0,1.0,0.0,2.0,1.0,1.0,49503.5,0,0,Paris-France,Male
678.0,40.0,10.0,0.0,2.0,1.0,0.0,184866.69,1,0,Paris-France,Male
581.0,34.0,2.0,148882.54,1.0,1.0,1.0,84560.88,-4,0,Paris-France,Male
716.0,33.0,5.0,0.0,2.0,1.0,1.0,15068.83,-1,0,Madrid-Spain,Male
588.0,36.0,4.0,131778.58,1.0,1.0,0.0,136024.31,-1,1,Berlin-Germany,Male
593.0,30.0,8.0,144772.69,1.0,1.0,0.0,29792.11,-4,0,Paris-France,Female
678.0,37.0,1.0,138476.41,1.0,1.0,0.0,106851.6,-2,0,Madrid-Spain,Male
676.0,43.0,4.0,0.0,2.0,1.0,0.0,142917.13,3,0,Paris-France,Male
583.0,40.0,4.0,81274.33,1.0,1.0,1.0,170843.07,1,0,Berlin-Germany,Male
599.0,27.0,6.0,161801.47,2.0,1.0,0.0,109184.24,-5,0,Berlin-Germany,Female
687.0,,3.0,90432.92,1.0,1.0,0.0,,-2,0,Berlin-Germany,Unknown
759.0,71.0,9.0,0.0,1.0,1.0,1.0,93081.87,2,0,Madrid-Spain,Male
681.0,47.0,5.0,0.0,1.0,1.0,1.0,72945.68,-4,0,Paris-France,Male
703.0,33.0,7.0,190566.65,,1.0,1.0,79997.14,0,0,Paris-France,Female
549.0,25.0,5.0,0.0,2.0,1.0,0.0,162260.93,0,0,Paris-France,Female
602.0,36.0,7.0,0.0,2.0,0.0,1.0,135082.47,-1,0,Paris-France,Male
636.0,36.0,4.0,117559.05,2.0,1.0,0.0,111573.3,-4,0,Paris-France,Male
645.0,55.0,8.0,120105.43,1.0,1.0,0.0,125083.29,4,1,Berlin-Germany,Female
559.0,61.0,1.0,153711.26,1.0,0.0,1.0,180890.4,1,1,Paris-France,Male
773.0,35.0,9.0,0.0,2.0,0.0,1.0,87549.36,-3,0,Madrid-Spain,Male
554.0,41.0,8.0,0.0,2.0,1.0,0.0,113926.31,-1,0,Paris-France,Male
553.0,43.0,,85200.82,1.0,1.0,0.0,160574.09,-1,0,Berlin-Germany,Female
554.0,44.0,9.0,121823.26,1.0,1.0,0.0,79577.68,-1,1,Berlin-Germany,Male
714.0,26.0,6.0,149879.66,2.0,1.0,1.0,50016.17,3,0,Paris-France,Male
703.0,39.0,9.0,0.0,1.0,1.0,0.0,131363.57,-5,1,Madrid-Spain,Male
616.0,31.0,3.0,136789.14,2.0,0.0,1.0,59346.4,-5,0,Madrid-Spain,Male
586.0,58.0,2.0,147262.11,1.0,1.0,1.0,100835.19,-3,0,Paris-France,Unknown
785.0,41.0,4.0,0.0,1.0,1.0,0.0,170968.99,2,1,Madrid-Spain,Male
